id|device_id|created_at|published_at_utc|float_value|int_value|str_value|event_name
16692|250019001247343339383037|2022-12-15 11:07:49.863651+00|2022-12-15 11:07:49.847+00|83.428568|||tempA4
16693|250019001247343339383037|2022-12-15 11:07:49.866527+00|2022-12-15 11:07:49.847+00||4||wifi
16694|e00fce685f262f4ea1486367|2022-12-15 11:10:12.345907+00|2022-12-15 11:10:12.325+00|66.199997|||temp
16695|250019001247343339383037|2022-12-15 11:12:49.887794+00|2022-12-15 11:12:49.871+00|82.993407|||tempA4
16696|250019001247343339383037|2022-12-15 11:12:49.891045+00|2022-12-15 11:12:49.871+00||4||wifi
16697|250019001247343339383037|2022-12-15 11:12:49.894449+00|2022-12-15 11:12:49.87+00|81.107685|||tempA0
16698|e00fce685f262f4ea1486367|2022-12-15 11:15:12.37774+00|2022-12-15 11:15:12.356+00|66.199997|||temp
16699|250019001247343339383037|2022-12-15 11:17:52.637381+00|2022-12-15 11:17:52.35+00|83.283514|||tempA4
16700|250019001247343339383037|2022-12-15 11:17:52.640814+00|2022-12-15 11:17:52.35+00||4||wifi
16701|250019001247343339383037|2022-12-15 11:17:52.643336+00|2022-12-15 11:17:52.35+00|81.832965|||tempA0
16702|e00fce685f262f4ea1486367|2022-12-15 11:20:12.405047+00|2022-12-15 11:20:12.382+00|66.199997|||temp
16703|250019001247343339383037|2022-12-15 11:22:49.626015+00|2022-12-15 11:22:49.605+00|81.832965|||tempA0
16704|250019001247343339383037|2022-12-15 11:22:49.930421+00|2022-12-15 11:22:49.915+00|81.687911|||tempA4
16705|250019001247343339383037|2022-12-15 11:22:49.94556+00|2022-12-15 11:22:49.916+00||4||wifi
16706|e00fce685f262f4ea1486367|2022-12-15 11:25:12.440941+00|2022-12-15 11:25:12.418+00|66.199997|||temp
16707|250019001247343339383037|2022-12-15 11:27:49.624677+00|2022-12-15 11:27:49.602+00|82.123084|||tempA0
16708|250019001247343339383037|2022-12-15 11:27:49.814716+00|2022-12-15 11:27:49.799+00|82.703299|||tempA4
